"full_text","id_str","created_at","username","user_id_str","lang","location","quote_count","reply_count","retweet_count","favorite_count","tweet_url","mentions","mention_count","source","target"
"Tanda-tanda Lailatul Qadar oleh KH. Bahudin Nur Salim Pengasuh Ponpes LP3IA Narukan Rembang. #ansorwonosobo #ansorkejajar #ansor #ansormedia #ansormediasembungan #banser #nahdlatululama #ramadhan #gusabaha https://t.co/vrVkrNZVFq","1.77e+32","2024-04-01 08:28:57+00:00","AnsorSembungan","1.76E+47","in","Wonosobo, Indonesia","0","0","1","1","https://x.com/AnsorSembungan/status/1774715563732058127","","0","AnsorSembungan",""
"LEMBAGA PENDIDIKAN AN NAHDLIYAH - PENGURUS BESAR NAHDLATUL ULAMA. PONDOK PESANTREN MODERN DENGAN FASILITAS MODERN. PENERIMAAN SANTRI/ MURID BARU TA. 2024-2025. KESEMPATAN PARA SANTRI MEMPEROLEH BEASISWA UNTUK KULIAH DILUAR NEGERI. (UNTUK TAMATAN SD/MI dan SMP/ MTS). https://t.co/BKOH4wIWBb","1.77e+32","2024-04-01 08:38:00+00:00","kabcirebon_MUI","1.75e+32","in","","0","0","0","2","https://x.com/kabcirebon_MUI/status/1774717840815448322","","0","kabcirebon_MUI",""
"Pengurus Besar Nahdlatul Ulama ajak PKB Ucapkan Selamat Ke Prabowo-Gibran [Sebuah Utas] https://t.co/Ks9bazkTWc","1.77e+32","2024-04-01 09:22:38+00:00","JatmikoRifiawan","1.74e+32","in","","0","1","0","0","https://x.com/JatmikoRifiawan/status/1774729073136394412","","0","JatmikoRifiawan",""
"@muhammadiyah @nahdlatululama @MajelisUlamaID - anjuran berbuka dengan babi hukumnya apa? Termasuk penistaan kah?","1.77e+32","2024-04-01 10:12:22+00:00","pramayudhaamdan","79662581.0","in","","0","0","0","0","https://x.com/pramayudhaamdan/status/1774741588662698060","muhammadiyah,nahdlatululama,MajelisUlamaID","3","pramayudhaamdan","muhammadiyah"
"@trurtles @nahdlatululama @bankmandiri Asyik banget bisa mudik gratis","1.77e+32","2024-04-01 10:31:16+00:00","rindajuwina","1.59E+48","in","indonesia","0","1","0","0","https://x.com/rindajuwina/status/1774746345209024930","trurtles,nahdlatululama,bankmandiri","3","rindajuwina","trurtles"
"Magetan. Komandan Kodim 0804/Magetan Letkol Inf Hasan Dasuki S.Sos. menghadiri pelantikan pimpinan cabang (PC) Ikatan Pelajar Nahdlatul Ulama dan Ikatan Pelajar Putri Nahdlatul Ulama (IPNU-IPPNU) Magetan masa khidmat 2023 - 2025 Senin (1/4/2024). https://t.co/125QSO06Es","1.77e+32","2024-04-01 11:38:19+00:00","PDim0804","1.61e+32","in","","0","0","0","1","https://x.com/PDim0804/status/1774763218298380718","","0","PDim0804",""
"@nahdlatululama @muhammadiyah @Aspek_Indonesia","1.77e+32","2024-04-01 14:09:42+00:00","rofiekfold","88566873.0","qam","","0","0","0","0","https://x.com/rofiekfold/status/1774801316545745359","nahdlatululama,muhammadiyah,Aspek_Indonesia","3","rofiekfold","nahdlatululama"
"Forum Wartawan Sidoarjo (Forwas) bersama Pengurus Cabang Nahdlatul Ulama (PCNU) Kabupaten Sidoarjo berdiskusi tentang banyak hal seputar Sidoarjo. https://t.co/FcDualyuQj #Sidoarjo #FORWAS #Ramadan2024 #Jurnalis #Tadarus","1.77e+32","2024-04-01 14:22:09+00:00","ngopibareng_id","1.29e+32","in","Surabaya","0","0","0","0","https://x.com/ngopibareng_id/status/1774804450366157110","","0","ngopibareng_id",""
"@AYB_id Beragama ikut lah Allah dan Rasulnya ikut Al Qur'an hadis BUKAN ikut ormas bukan NU bukan Muhammadiyah bukan LDII dll klo ikut ormas jdnya mcm ini sesuka hati mengikut kemauannya bukan ikut ajaran aturan islam yg sebenarnya...","1.77E+31","2024-04-01 14:59:15+00:00","MaxisKu7","1.54E+31","in","","0","1","1","10","https://x.com/MaxisKu7/status/1774813784256938262","AYB_id","1","MaxisKu7","AYB_id"
"HANYA di INDONESIA babi yang TERTANGKAP ketika dipamerkan di muka umum akan DIDANDANI aparat dengan Kopiah Haji untuk yang jantan dan Jilbab untuk yang betina. @MUIPusat @muhammadiyah @nahdlatululama https://t.co/C58Yam2XEm","1.77e+32","2024-04-01 15:24:05+00:00","OktermanLkmn","1.60E+47","in","Pesisir Barat, Andalas","85","344","2035","6402","https://x.com/OktermanLkmn/status/1774820033786769876","MUIPusat,muhammadiyah,nahdlatululama","3","OktermanLkmn","MUIPusat"
"@Alex7anuari @OktermanLkmn @MUIPusat @muhammadiyah @nahdlatululama Penusukan.","1.77e+32","2024-04-01 16:24:43+00:00","Jarakdekat","77430557.0","in","DKI Jakarta, Indonesia","0","0","0","3","https://x.com/Jarakdekat/status/1774835291544846759","Alex7anuari,OktermanLkmn,MUIPusat,muhammadiyah,nahdlatululama","5","Jarakdekat","Alex7anuari"
"@DindaQu_ NU ITU ADALAH SALAH SATU ORMAS YG SANGAT MUDAH DI SESATKAN. APALAGI SETELAH MASA KEPEMIMPINAN HSYIM ASY 'ARY BERAKHIR... YA CONTOH NYA KAYAK GINI NIH... ANGGOTA NU JUGA SERING KOLABORASI DGN KRISTEN UNTUK MENCAMPUR ADUKAN HAK DAN BATHIL... SEPER","1.77E+31","2024-04-01 18:02:51+00:00","Syaipul50720684","1.59E+31","in","","0","0","0","1","https://x.com/Syaipul50720684/status/1774859989657772416","DindaQu_","1","Syaipul50720684","DindaQu_"
"@OktermanLkmn @MUIPusat @muhammadiyah @nahdlatululama Politik identitas di kecam tapi kriminal indentitas terus dijalankan","1.77e+32","2024-04-01 20:43:55+00:00","mizan10957945","1.32e+32","in","","1","1","58","629","https://x.com/mizan10957945/status/1774900524263043089","OktermanLkmn,MUIPusat,muhammadiyah,nahdlatululama","4","mizan10957945","OktermanLkmn"
"@OktermanLkmn @MUIPusat @muhammadiyah @nahdlatululama This has to stop! Ide siapa sih? Jika hampir semua kantor polisi spt itu apakah berarti itu hasil dikte?","1.77e+32","2024-04-01 21:00:19+00:00","doer_AlX","1.71e+32","in","Yogyakarta, Indonesia","1","0","6","114","https://x.com/doer_AlX/status/1774904652435460434","OktermanLkmn,MUIPusat,muhammadiyah,nahdlatululama","4","doer_AlX","OktermanLkmn"
"@OktermanLkmn @MUIPusat @muhammadiyah @nahdlatululama Pelecehan oknum aparat negara terhadap agama..","1.77e+32","2024-04-01 21:12:05+00:00","tuingtuing008","1.75e+32","in","","1","1","6","84","https://x.com/tuingtuing008/status/1774907610829033657","OktermanLkmn,MUIPusat,muhammadiyah,nahdlatululama","4","tuingtuing008","OktermanLkmn"
"Diharapkan dengan ditandatanganinya perjanjian kerjasama antara BNNP Sumatera Utara dengan Universitas Nahdlatul Ulama Sumatera Utara (UNUSU) Akan meningkatkan kerjasama dalam upaya P4GN melalui pendidikan Penelitian dan pengabdian masyarakat di Provinsi Sumatera Utara. https://t.co/Qfuk5lhQ6u","1.77e+32","2024-04-01 21:34:59+00:00","bnnpsumut","7.56e+31","in","Medan, Sumatera Utara","0","0","0","2","https://x.com/bnnpsumut/status/1774913376306798915","","0","bnnpsumut",""
"@OktermanLkmn @MUIPusat @muhammadiyah @nahdlatululama Framing Umat Islam adalah kriminal itu memang merupakan strategi dan tujuan aparat kepolisian yang di lindungi negara di Rezim ini...","1.77e+32","2024-04-01 21:43:45+00:00","ojek_ngalong","1.6e+32","in","Burbank, CA","1","29","34","457","https://x.com/ojek_ngalong/status/1774915579998322855","OktermanLkmn,MUIPusat,muhammadiyah,nahdlatululama","4","ojek_ngalong","OktermanLkmn"
"@OktermanLkmn @MUIPusat @muhammadiyah @nahdlatululama FITNAH DAJJAL NYATA","1.77e+32","2024-04-01 21:50:01+00:00","WIRA_SONIC","2658701862.0","in","Indonesia","0","0","0","7","https://x.com/WIRA_SONIC/status/1774917159757692962","OktermanLkmn,MUIPusat,muhammadiyah,nahdlatululama","4","WIRA_SONIC","OktermanLkmn"
"@OktermanLkmn @MUIPusat @muhammadiyah @nahdlatululama Keppo videonya yg menyorot si emak dr depan yg dr bus ngeri bringas si emak apalagi video dr depan yg keliatan banget muka si pelaku.","1.77e+32","2024-04-01 21:56:26+00:00","Miguel01022000","1.63e+32","in","","1","0","1","3","https://x.com/Miguel01022000/status/1774918771465187546","OktermanLkmn,MUIPusat,muhammadiyah,nahdlatululama","4","Miguel01022000","OktermanLkmn"
"@OktermanLkmn @MUIPusat @muhammadiyah @nahdlatululama Framing.... Kebanyakan fitnah harus di Reformasi total nih aparat","1.77e+32","2024-04-01 22:16:09+00:00","nusaagung1","1.61e+32","in","","0","1","1","30","https://x.com/nusaagung1/status/1774923733083529258","OktermanLkmn,MUIPusat,muhammadiyah,nahdlatululama","4","nusaagung1","OktermanLkmn"
"@ojek_ngalong @OktermanLkmn @MUIPusat @muhammadiyah @nahdlatululama https://t.co/potNIDACSw","1.77e+32","2024-04-01 22:21:07+00:00","Sumartono0","1.3e+32","qme","","0","0","0","3","https://x.com/Sumartono0/status/1774924984580026417","ojek_ngalong,OktermanLkmn,MUIPusat,muhammadiyah,nahdlatululama","5","Sumartono0","ojek_ngalong"
"@OktermanLkmn @MUIPusat @muhammadiyah @nahdlatululama Betul sekali inilah salah satu bukti islamphobia sudah sistematis","1.77e+32","2024-04-01 22:26:50+00:00","nuralam317","1.24e+32","in","","1","0","3","103","https://x.com/nuralam317/status/1774926423536669091","OktermanLkmn,MUIPusat,muhammadiyah,nahdlatululama","4","nuralam317","OktermanLkmn"
"@OktermanLkmn @MUIPusat @muhammadiyah @nahdlatululama Bismillah mohon pihak @MUIPusat memberikan masukan kpd pihak2 yg mendadani tersangka/pesakitan perihal simbol2 suatu agama. Agama apapun tampilkan mereka sang pesakitan dg tampilan keseharian mereka di","1.77e+32","2024-04-01 22:29:24+00:00","ApakEdo72","3009199968.0","in","Bandar Lampung, Lampung","1","7","31","355","https://x.com/ApakEdo72/status/1774927069228711961","OktermanLkmn,MUIPusat,muhammadiyah,nahdlatululama,MUIPusat","5","ApakEdo72","OktermanLkmn"
"@NdoraAta @ApakEdo72 @OktermanLkmn @MUIPusat @muhammadiyah @nahdlatululama Sehari2 gak pakai hijab pas di tangkap dipakaikan Hijab kan taekk!!!!","1.77e+32","2024-04-01 23:43:56+00:00","Rudianssss","1.62e+31","in","","0","2","1","10","https://x.com/Rudianssss/status/1774945826969932264","NdoraAta,ApakEdo72,OktermanLkmn,MUIPusat,muhammadiyah,nahdlatululama","6","Rudianssss","NdoraAta"
"@OktermanLkmn @MUIPusat @muhammadiyah @nahdlatululama Seharusnya ga boleh tuh. Coba kl yg kemaren merugikan negara 271 T. Didandanin ala agamanya dia. Mau ga???","1.77e+32","2024-04-02 00:04:57+00:00","sophie_pinky","250029018.0","in","Bekasi","0","1","0","4","https://x.com/sophie_pinky/status/1774951114917728560","OktermanLkmn,MUIPusat,muhammadiyah,nahdlatululama","4","sophie_pinky","OktermanLkmn"
"@OktermanLkmn @MUIPusat @muhammadiyah @nahdlatululama Para pelaku kejahatan berharap institusi hukum bersifat lunak ketika mereka agamis Trik psikologis yg efektif di Indonesia","1.77e+32","2024-04-02 00:11:45+00:00","MBlackmanz","1.05e+32","in","Jawa Timur, Indonesia","0","0","0","3","https://x.com/MBlackmanz/status/1774952826780963273","OktermanLkmn,MUIPusat,muhammadiyah,nahdlatululama","4","MBlackmanz","OktermanLkmn"
"@OktermanLkmn @MUIPusat @muhammadiyah @nahdlatululama Seolah2 kan yah","1.77e+32","2024-04-02 00:16:43+00:00","TypeTing","2893960488.0","in","","0","0","0","0","https://x.com/TypeTing/status/1774954076951994830","OktermanLkmn,MUIPusat,muhammadiyah,nahdlatululama","4","TypeTing","OktermanLkmn"
"@OktermanLkmn @MUIPusat @muhammadiyah @nahdlatululama Bangsat kalian diem aja @MajelisUlamaID","1.77e+32","2024-04-02 00:17:04+00:00","Cant_coet","1.7e+32","in","Barelang","0","0","0","2","https://x.com/Cant_coet/status/1774954165623783806","OktermanLkmn,MUIPusat,muhammadiyah,nahdlatululama,MajelisUlamaID","5","Cant_coet","OktermanLkmn"
"@officialinews_ @OktermanLkmn @MUIPusat @muhammadiyah @nahdlatululama Hanya masalah sepele sudah tega membunuh sesamanya naudzu billahi mindzalik","1.77e+32","2024-04-02 00:20:58+00:00","Campaga591260","1.68E+48","in","Indonesia ","0","0","1","6","https://x.com/Campaga591260/status/1774955146054877325","officialinews_,OktermanLkmn,MUIPusat,muhammadiyah,nahdlatululama","5","Campaga591260","officialinews_"
"@OktermanLkmn @MUIPusat @muhammadiyah @nahdlatululama baru pada sadar ya udah lama kaleee modus kayak gini. cuma pada diam diam bae ","1.77e+32","2024-04-02 00:22:22+00:00","filarmann","412287695.0","in","","0","0","0","1","https://x.com/filarmann/status/1774955499651563989","OktermanLkmn,MUIPusat,muhammadiyah,nahdlatululama","4","filarmann","OktermanLkmn"
"@OktermanLkmn @MUIPusat @muhammadiyah @nahdlatululama Aparat sukanya mendandani babi dgn asesoris agama kenapa harus jadi kebiasaan klo gitu yg lebih pantas masuk jeruji besi aparatnya karena babinya lebih religius!!!","1.77e+32","2024-04-02 00:23:24+00:00","raden_diky16695","1.73e+32","in","Jakarta, Indonesia","1","1","3","51","https://x.com/raden_diky16695/status/1774955757378867300","OktermanLkmn,MUIPusat,muhammadiyah,nahdlatululama","4","raden_diky16695","OktermanLkmn"
"@AirinDatangLagi biarin....dia kan banser...banom NU aswaja...mana ada ajaran aswaja/NU spt itu...malu²in nama besar ormas NU aja GOBLOK ...","1.77E+31","2024-04-02 00:32:39+00:00","tornadoexpres","1.62E+31","in","planet namek","0","0","0","1","https://x.com/tornadoexpres/status/1774958086916387163","AirinDatangLagi","1","tornadoexpres","AirinDatangLagi"
"@liyana_marzuki Ulama pertubuhan Islam terbesar Indonesia Nahdlatul Ulama (NU) menggesa umat Islam negara itu tidak menggunakan perkataan kafir sebagai merujuk kepada penduduk bukan Islam Ingatkan ada law or polisi since ada perkataan pemimpin ","1.77e+32","2024-04-02 00:53:19+00:00","4zharabdullah","1.59E+48","in","Singapore","0","1","0","3","https://x.com/4zharabdullah/status/1774963286045548631","liyana_marzuki","1","4zharabdullah","liyana_marzuki"
"@OktermanLkmn @MUIPusat @muhammadiyah @nahdlatululama Humanis","1.77e+32","2024-04-02 01:32:33+00:00","Kucinganggora_8","1.32e+32","pt","","0","0","0","0","https://x.com/Kucinganggora_8/status/1774973161806893456","OktermanLkmn,MUIPusat,muhammadiyah,nahdlatululama","4","Kucinganggora_8","OktermanLkmn"
"@OktermanLkmn @MUIPusat @muhammadiyah @nahdlatululama Ini sekalian di pakaian kopiah haji dan jilbab syar'i nya pula https://t.co/T7IfmsgtvE","1.77e+32","2024-04-02 01:32:34+00:00","AjahMuchdi45042","1.76e+32","in","Setia Budi, Indonesia","1","8","20","91","https://x.com/AjahMuchdi45042/status/1774973166634627296","OktermanLkmn,MUIPusat,muhammadiyah,nahdlatululama","4","AjahMuchdi45042","OktermanLkmn"
"@OktermanLkmn @MUIPusat @muhammadiyah @nahdlatululama Itu perempuan pake jilbab sendiri.ntar kl dilepas aparat jadi penistaan..salah lagiii... ","1.77E+46","2024-04-02 02:24:28+00:00","ariodio07","283989657.0","in","מרכז עזה","0","1","0","0","https://x.com/ariodio07/status/1774986226959007959","OktermanLkmn,MUIPusat,muhammadiyah,nahdlatululama","4","ariodio07","OktermanLkmn"
"*Perbedaan Antara AMIL ZAKAT &amp; PANITIA Berdasarkan Munas NU 2017* Dalam hasil Munas Alim Ulama Nahdlatul Ulama tahun 2017 disebutkan definisi amil adalah orang yang diangkat oleh imam (pemerintah) untuk memungut mengumpulkan dan ... Selengkapnya di FB Abu Qornie https://t.co/Q3IkxkdPBe","1.77e+32","2024-04-02 02:52:20+00:00","AswajaKu44484","1.71e+32","in","","0","0","0","1","https://x.com/AswajaKu44484/status/1774993236576346362","","0","AswajaKu44484",""
"@ojek_ngalong @OktermanLkmn @MUIPusat @muhammadiyah @nahdlatululama apa bener begini Pak? @DivHumas_Polri angkut sekalian ni Pak","1.78e+32","2024-04-02 05:44:14+00:00","fedezoku","293360062.0","in","ຸフェデ族","0","0","0","0","https://x.com/fedezoku/status/1775036498330763304","ojek_ngalong,OktermanLkmn,MUIPusat,muhammadiyah,nahdlatululama,DivHumas_Polri","6","fedezoku","ojek_ngalong"
"@OktermanLkmn @MUIPusat @muhammadiyah @nahdlatululama Ini yang bawa parang panjang itu bukan min?","1.78e+32","2024-04-02 06:29:03+00:00","AlfanSapei64","1.69e+32","in","","0","2","0","61","https://x.com/AlfanSapei64/status/1775047778542174649","OktermanLkmn,MUIPusat,muhammadiyah,nahdlatululama","4","AlfanSapei64","OktermanLkmn"
"@Aalqanuniy @OktermanLkmn @MUIPusat @muhammadiyah @nahdlatululama Here s your screenshot. Want to grow on 𝕏? Check out https://t.co/g68yBgxFbT. https://t.co/Xx6AUPpMtw","1.78e+32","2024-04-02 06:54:11+00:00","TweetHunterIO","1.4e+32","en","The all-in-one Twitter tool 👉","0","0","2","8","https://x.com/TweetHunterIO/status/1775054102122135791","Aalqanuniy,OktermanLkmn,MUIPusat,muhammadiyah,nahdlatululama","5","TweetHunterIO","Aalqanuniy"
"Penyempurnaan dari empat perkara. Termasuk zakat sebagai penyempurna dari ibadah puasa. Baca artikel Tebuireng Initiatives lainnya di https://t.co/xtF2OZ7SSY #tebuirenginitiatives #tebuireng #pesantren #santri #nahdlatululama #ramadan #ramadhan1445 #indonesia https://t.co/g6ZcKO10Wc","1.78e+32","2024-04-02 07:00:02+00:00","tbi_initiatives","1.35e+32","in","","0","0","0","0","https://x.com/tbi_initiatives/status/1775055574339862988","","0","tbi_initiatives",""
"@ojek_ngalong @OktermanLkmn @MUIPusat @muhammadiyah @nahdlatululama betulkah???? miripkah???? https://t.co/z4o4TCH6q2","1.78e+32","2024-04-02 07:05:35+00:00","AliAzimarz40787","1.75E+47","in","Jakarta Selatan, DKI Jakarta","0","0","0","0","https://x.com/AliAzimarz40787/status/1775056972796297645","ojek_ngalong,OktermanLkmn,MUIPusat,muhammadiyah,nahdlatululama","5","AliAzimarz40787","ojek_ngalong"
"@ojek_ngalong @OktermanLkmn @MUIPusat @muhammadiyah @nahdlatululama betulkah ini??? https://t.co/7KqP01nkcu","1.78e+32","2024-04-02 07:08:13+00:00","AliAzimarz40787","1.75E+47","in","Jakarta Selatan, DKI Jakarta","0","0","0","0","https://x.com/AliAzimarz40787/status/1775057635307626933","ojek_ngalong,OktermanLkmn,MUIPusat,muhammadiyah,nahdlatululama","5","AliAzimarz40787","ojek_ngalong"
"Tips Tarawih Anti Bosan Ala Gus Boy Genggong https://t.co/ycAFHWTroG #nuonline #nuonlinejatim #nahdlatululama #santrionline #PZHGenggong https://t.co/bLSh20Yjzm","1.78e+32","2024-04-02 08:01:35+00:00","nuonlinejatim","1.31e+32","in","East Java, Indonesia","0","1","0","1","https://x.com/nuonlinejatim/status/1775071063883616258","","0","nuonlinejatim",""
"@0PlNN @Just_Ab1 NU yg dimaksud adlah ormas NU kah?","1.78E+30","2024-04-02 08:36:37+00:00","Cluring","69490387.0","in","jakarta","0","1","0","0","https://x.com/Cluring/status/1775079882328023525","0PlNN,Just_Ab1","2","Cluring","0PlNN"
"@AYB_id Beragama gak harus ngikut ormas gw kaget temen2 nonis gw tanya lo islam NU apa muhammadiyah? Gw jawab gw ikutin quran dan nabi Muhammad yg ajarannya udh sempurna 1400 tahun lalu kagak ngurus ormas yg cuma 100 thn baru nongol","1.78E+31","2024-04-02 10:58:12+00:00","genghiscattt","1.55E+31","in","","0","1","0","2","https://x.com/genghiscattt/status/1775115511577428151","AYB_id","1","genghiscattt","AYB_id"
"@NdoraAta @ApakEdo72 @OktermanLkmn @MUIPusat @muhammadiyah @nahdlatululama Udh jadi rhs umum suara mayoritas umat muslim itu kuat gimana caranya agar lemah ya dibiklah konsep sekuler dan liberal biar redam suara umat muslim ini. Terpecah2 bahasa sederhana","1.78e+32","2024-04-02 12:11:35+00:00","haidarsyn","191341370.0","in","Pekalongan, Jawa Tengah","0","0","0","1","https://x.com/haidarsyn/status/1775133977327845494","NdoraAta,ApakEdo72,OktermanLkmn,MUIPusat,muhammadiyah,nahdlatululama","6","haidarsyn","NdoraAta"
"@OktermanLkmn @MUIPusat @muhammadiyah @nahdlatululama Onta bukan babi ","1.78e+32","2024-04-02 13:21:32+00:00","penjelajahhh","173071793.0","in","North Carolina, USA","0","0","0","1","https://x.com/penjelajahhh/status/1775151580356260222","OktermanLkmn,MUIPusat,muhammadiyah,nahdlatululama","4","penjelajahhh","OktermanLkmn"
"ZAKAT FITRAH DENGAN UANG Rais Syuriyah Pengurus Besar Nahdlatul Ulama (PBNU) KH. Bahaudin (Gus Baha') Nursalim menjelaskan zakat fitrah boleh menggunakan uang asalkan setara dengan takaran yang telah ditentukan satu sha atau empat mud. ... Selengkapnya di FB Abu Qornie .. https://t.co/Y2Ea4B6Yyz","1.78e+32","2024-04-02 14:16:37+00:00","AswajaKu44484","1.71e+32","in","","0","0","0","1","https://x.com/AswajaKu44484/status/1775165442505781257","","0","AswajaKu44484",""
"Agama itu pada dasarnya moderat pemeluknya-lah yang Membawa agama itu untuk tindakan ekstrem. #gusnajih #tolakintoleransi @nahdlatululama #poupettekenza https://t.co/MhcxlrJnjn","1.78E+47","2024-04-02 15:36:28+00:00","Malukutoleransi","1.52e+32","in","🇮🇩","0","0","0","0","https://x.com/Malukutoleransi/status/1775185538758402234","nahdlatululama","1","Malukutoleransi","nahdlatululama"
"@Cluring @0PlNN @Just_Ab1 NU itu ga cm ormas ada yg nama'y NU struktural dan NU kultural yg di pelosok desa ya kbnyakn NU kultural.. Zakat fitrah pke beras kami ikuti krn itu hsl ijtihad ulama mngkuti kondisi stmpat lha lo bukan'y apa2 butuh dalil knp ga ","1.78E+31","2024-04-02 15:57:12+00:00","WYasodana","1.74E+31","in","","0","0","0","1","https://x.com/WYasodana/status/1775190757642846474","Cluring,0PlNN,Just_Ab1","3","WYasodana","Cluring"
"@OktermanLkmn @ategeo @MUIPusat @muhammadiyah @nahdlatululama Ini pemuka agama engga ada yg punya gigi apa ya utk protes keras kpda penegak hukum.. knp para kriminal itu pas ketangkap &amp; diproses selalu didandani pakaian muslim muslimah ? Tujuanya apa ","1.78E+47","2024-04-02 16:27:31+00:00","DenasIdn1","1.69e+32","in","Pandeglang, Indonesia","0","0","4","6","https://x.com/DenasIdn1/status/1775198387270500820","OktermanLkmn,ategeo,MUIPusat,muhammadiyah,nahdlatululama","5","DenasIdn1","OktermanLkmn"
"Ktk Tokoh² yg memimpin organisasi keagamaan dg basis masa yg besar nyaris tdk peduli thp perjuangan utk menegakkan demokrasi bahkan mrk sibuk dg mencari celah kehadiran n keberanian Romo Magnis yg usiaY sdh senja hrs kita apresiasi. @nahdlatululama @muhammadiyah","1.78e+32","2024-04-02 16:44:05+00:00","NenkMonica","1.04e+32","in","Cengkareng, Indonesia","0","4","63","130","https://x.com/NenkMonica/status/1775202554760356288","nahdlatululama,muhammadiyah","2","NenkMonica","nahdlatululama"
